,0,1,2
1441,few,second,into
1442,second,into,the
1443,into,the,first
1444,the,first,messag
1445,first,messag,and
1446,messag,and,then
1447,and,then,i
1448,then,i,m
1449,i,m,lost
1450,m,lost,the
1451,the,replac,die
1452,replac,die,in
1453,die,in,a
1454,in,a,few
1455,ani,ring,tone
1456,ring,tone,overal
1457,tone,overal,good
1458,overal,good,phone
1459,good,phone,to
1460,phone,to,buy
1461,late,they,have
1462,have,been,extrem
1463,been,extrem,nice
1464,extrem,nice,and
1465,nice,and,help
1466,and,help,on
1467,help,on,the
1468,the,phone,i
1469,have,had,problem
1470,had,problem,wit
1471,problem,wit,hit
1472,wit,hit,drop
1473,hit,drop,signal
1474,drop,signal,and
1475,signal,and,more
1476,light,weight,i
1477,weight,i,hard
1478,i,hard,notic
1479,hard,notic,it
1480,is,there,you
1481,you,ll,love
1482,ll,love,how
1483,love,how,thin
1484,how,thin,it
1485,the,pleather,case
1486,pleather,case,doesn
1487,doesn,t,fit
1488,useless,phone,simpli
1489,phone,simpli,deaf
1490,the,color,is
1491,color,is,even
1492,is,even,prettier
1493,even,prettier,than
1494,prettier,than,i
1495,than,i,thought
1496,thought,it,would
1497,it,would,be
1498,would,be,and
1499,be,and,the
1500,and,the,graphic
1501,the,graphic,are
1502,graphic,are,incred
1503,are,incred,sharp
1504,all,i,think
1505,think,it,was
1506,was,a,good
1507,a,good,invest
1508,good,invest,it
1509,it,make,veri
1510,make,veri,strang
1511,veri,strang,tick
1512,strang,tick,nois
1513,tick,nois,befor
1514,nois,befor,it
1515,befor,it,end
1516,it,end,the
1517,end,the,call
1518,the,call,the
1519,the,best,electron
1520,best,electron,of
1521,electron,of,the
1522,of,the,avail
1523,the,avail,fm
1524,avail,fm,transmitt
1525,batteri,last,onli
1526,last,onli,a
1527,onli,a,few
1528,a,few,hour
1529,great,headset,veri
1530,headset,veri,impress
1531,veri,impress,the
1532,the,mega,pixel
1533,mega,pixel,camera
1534,pixel,camera,be
1535,camera,be,a
1536,be,a,part
1537,a,part,of
1538,of,a,phone
1539,a,phone,is
1540,phone,is,reason
1541,is,reason,i
1542,reason,i,ve
1543,had,this,for
1544,this,for,near
1545,for,near,year
1546,near,year,and
1547,has,work,great
1548,work,great,for
1549,great,for,me
1550,for,me,good
1551,good,transmit,audio
1552,we,are,send
1553,are,send,it
1554,it,back,i
1555,did,not,bother
1556,not,bother,contact
1557,bother,contact,the
1558,the,compani,for
1559,compani,for,few
1560,for,few,dollar
1561,few,dollar,product
1562,dollar,product,but
1563,product,but,i
1564,but,i,learn
1565,i,learn,the
1566,learn,the,lesson
1567,the,lesson,that
1568,lesson,that,i
1569,that,i,should
1570,i,should,not
1571,should,not,have
1572,not,have,bought
1573,bought,this,form
1574,this,form,onlin
1575,form,onlin,anyway
1576,if,you,hate
1577,you,hate,earbug
1578,hate,earbug,avoid
1579,earbug,avoid,this
1580,avoid,this,phone
1581,this,phone,by
1582,phone,by,all
1583,by,all,mean
1584,great,price,also
1585,price,also,the
1586,the,rang,is
1587,veri,decent,i
1588,decent,i,ve
1589,i,ve,been
1590,ve,been,abl
1591,been,abl,to
1592,abl,to,roam
1593,to,roam,around
1594,roam,around,my
1595,around,my,hous
1596,my,hous,with
1597,hous,with,the
1598,the,phone,in
1599,in,the,live
1600,the,live,room
1601,live,room,with
1602,room,with,no
1603,with,no,recept
1604,no,recept,sound
1605,recept,sound,qualiti
1606,sound,qualiti,issu
1607,this,i,would
1608,recommend,this,i
1609,this,i,also
1610,i,also,didn
1611,also,didn,t
1612,didn,t,like
1613,t,like,the
1614,like,the,on
1615,on,button,it
1616,button,it,felt
1617,it,felt,like
1618,like,it,would
1619,it,would,crack
1620,would,crack,with
1621,crack,with,use
1622,worst,phone,ever
1623,phone,ever,i
1624,ever,i,m
1625,i,m,still
1626,m,still,infatu
1627,still,infatu,with
1628,infatu,with,this
1629,with,this,phone
1630,it,s,kind
1631,s,kind,of
1632,kind,of,embarrass
1633,of,embarrass,to
1634,embarrass,to,use
1635,to,use,becaus
1636,use,becaus,of
1637,becaus,of,how
1638,of,how,it
1639,how,it,look
1640,look,and,most
1641,most,it,s
1642,it,s,embarrass
1643,s,embarrass,how
1644,embarrass,how,child
1645,how,child,like
1646,child,like,the
1647,like,the,compani
1648,the,compani,is
1649,simpl,lightweight,and
1650,lightweight,and,great
1651,and,great,fit
1652,all,i,d
1653,i,d,expect
1654,d,expect,a
1655,expect,a,better
1656,a,better,consum
1657,better,consum,experi
1658,consum,experi,from
1659,experi,from,motorola
1660,there,s,a
1661,s,a,horribl
1662,a,horribl,tick
1663,horribl,tick,sound
1664,tick,sound,in
1665,sound,in,the
1666,in,the,background
1667,the,background,on
1668,background,on,all
1669,on,all,my
1670,all,my,call
1671,my,call,that
1672,call,that,i
1673,have,never,experienc
1674,never,experienc,befor
1675,these,are,certain
1676,are,certain,veri
1677,certain,veri,comfort
1678,veri,comfort,and
1679,comfort,and,function
1680,and,function,is
1681,function,is,decent
1682,is,decent,i
1683,i,usual,don
1684,t,like,headband
1685,like,headband,but
1686,headband,but,this
1687,veri,lightweight,doesn
1688,lightweight,doesn,t
1689,doesn,t,mess
1690,t,mess,up
1691,mess,up,my
1692,up,my,hair
1693,my,hair,i
1694,i,m,a
1695,m,a,bit
1696,a,bit,disappoint
1697,bit,disappoint,i
1698,disappoint,i,have
1699,have,had,this
1700,had,this,phone
1701,this,phone,for
1702,phone,for,over
1703,for,over,a
1704,over,a,year
1705,a,year,now
1706,and,i,will
1707,i,will,tell
1708,will,tell,you
1709,tell,you,it
1710,you,it,not
1711,it,not,that
1712,not,that,great
1713,that,great,i
1714,order,this,for
1715,this,for,soni
1716,for,soni,ericsson
1717,soni,ericsson,but
1718,ericsson,but,i
1719,but,i,think
1720,i,think,it
1721,think,it,onli
1722,it,onli,work
1723,onli,work,onc
1724,work,onc,that
1725,onc,that,when
1726,that,when,i
1727,when,i,first
1728,i,first,use
1729,first,use,it
1730,use,it,the
1731,it,the,batteri
1732,batteri,is,complet
1733,complet,useless,to
1734,useless,to,me
1735,to,me,what
1736,what,a,big
1737,a,big,wast
1738,big,wast,of
1739,wast,of,time
1740,time,don,t
1741,wast,your,on
1742,your,on,this
1743,this,one,great
1744,one,great,sound
1745,great,sound,and
1746,sound,and,servic
1747,and,servic,realli
1748,realli,pleas,with
1749,this,product,so
1750,far,one,of
1751,one,of,my
1752,of,my,favorit
1753,my,favorit,purchas
1754,favorit,purchas,ever
1755,purchas,ever,best
1756,best,bluetooth,on
1757,bluetooth,on,the
1758,authent,leather,with
1759,leather,with,nice
1760,with,nice,shine
1761,nice,shine,and
1762,shine,and,comfort
1763,and,comfort,i
1764,comfort,i,recommend
1765,i,recommend,you
1766,recommend,you,this
1767,you,this,case
1768,this,case,i
1769,case,i,was
1770,was,veri,excit
1771,get,this,headset
1772,this,headset,becaus
1773,headset,becaus,i
1774,becaus,i,thought
1775,i,thought,it
1776,thought,it,was
1777,it,was,realli
1778,was,realli,cute
1779,do,not,make
1780,not,make,the
1781,same,mistak,as
1782,mistak,as,me
1783,big,disappoint,with
1784,disappoint,with,calendar
1785,with,calendar,sync
1786,the,phone,was
1787,phone,was,unus
1788,was,unus,and
1789,and,was,not
1790,was,not,new
1791,custom,servic,ever
1792,no,addit,ear
1793,addit,ear,gel
1794,ear,gel,provid
1795,gel,provid,and
1796,provid,and,no
1797,and,no,instruct
1798,no,instruct,whatsoev
1799,it,defeat,the
1800,defeat,the,purpos
1801,the,purpos,of
1802,purpos,of,a
1803,worth,everi,penni
1804,excel,wallet,type
1805,wallet,type,phone
1806,type,phone,case
1807,nice,headphon,for
1808,headphon,for,the
1809,the,price,and
1810,price,and,they
1811,they,work,great
1812,internet,is,excruti
1813,is,excruti,slow
1814,veri,comfort,to
1815,to,wear,as
1816,well,which,is
1817,which,is,probabl
1818,is,probabl,the
1819,probabl,the,most
1820,the,most,import
1821,most,import,aspect
1822,import,aspect,about
1823,aspect,about,use
1824,about,use,a
1825,use,a,case
1826,a,case,it
1827,case,it,s
1828,it,s,fit
1829,s,fit,like
1830,fit,like,a
1831,like,a,glove
1832,a,glove,and
1833,glove,and,is
1834,is,strong,secur
1835,strong,secur,and
1836,secur,and,durabl
1837,o,my,gosh
1838,my,gosh,the
1839,gosh,the,best
1840,ever,had,it
1841,had,it,s
1842,s,veri,attract
1843,veri,attract,and
1844,attract,and,appear
1845,and,appear,to
1846,appear,to,be
1847,to,be,of
1848,be,of,good
1849,of,good,qualiti
1850,good,qualiti,i
1851,qualiti,i,love
1852,i,love,all
1853,love,all,the
1854,all,the,featur
1855,the,featur,and
1856,featur,and,form
1857,and,form,factor
1858,this,product,had
1859,product,had,a
1860,had,a,strong
1861,a,strong,rubber
1862,strong,rubber,petroleum
1863,rubber,petroleum,smell
1864,petroleum,smell,that
1865,smell,that,was
1866,that,was,unbear
1867,was,unbear,after
1868,unbear,after,a
1869,after,a,while
1870,a,while,and
1871,while,and,caus
1872,and,caus,me
1873,me,to,return
1874,it,poor,qualiti
1875,poor,qualiti,and
1876,qualiti,and,servic
1877,the,cabl,look
1878,cabl,look,so
1879,look,so,thin
1880,so,thin,and
1881,thin,and,flimsi
1882,excel,hand,free
1883,hand,free,tool
1884,tool,great,for
1885,great,for,use
1886,for,use,with
1887,use,with,your
1888,with,your,home
1889,your,home,stereo
1890,good,product,incred
1891,product,incred,valu
1892,onli,had,this
1893,had,this,a
1894,this,a,month
1895,a,month,but
1896,month,but,it
1897,but,it,s
1898,it,s,work
1899,s,work,flawless
1900,work,flawless,so
1901,that,one,didn
1902,one,didn,t
1903,t,work,either
1904,life,is,real
1905,return,hour,later
1906,a,great,item
1907,love,this,headset
1908,this,headset,not
1909,not,onli,will
1910,onli,will,it
1911,will,it,drain
1912,it,drain,your
1913,drain,your,player
1914,your,player,but
1915,player,but,may
1916,but,may,also
1917,may,also,potenti
1918,also,potenti,fri
1919,potenti,fri,it
1920,unreli,i,m
1921,i,m,give
1922,m,give,up
1923,give,up,i
1924,i,gave,it
1925,gave,it,star
1926,it,star,becaus
1927,star,becaus,of
1928,of,the,sound
1929,avoid,this,one
1930,this,one,if
1931,one,if,you
1932,revers,plug,work
1933,plug,work,great
1934,i,wast,my
1935,wast,my,littl
1936,my,littl,money
1937,littl,money,with
1938,money,with,this
1939,with,this,earpiec
1940,best,of,all
1941,of,all,is
1942,all,is,the
1943,is,the,rotat
1944,the,rotat,featur
1945,rotat,featur,veri
1946,featur,veri,help
1947,comfort,for,our
1948,for,our,whole
1949,our,whole,famili
1950,good,product,good
1951,love,this,bluetooth
1952,first,of,all
1953,all,it,doesn
1954,doesn,t,wear
1955,t,wear,well
1956,wear,well,i
1957,well,i,am
1958,this,headset,from
1959,headset,from,plantron
1960,from,plantron,i
1961,i,got,it
1962,got,it,becaus
1963,it,becaus,it
1964,it,was,so
1965,was,so,small
1966,so,small,and
1967,small,and,ador
1968,i,wouldn,t
1969,wouldn,t,recommend
1970,t,recommend,buy
1971,recommend,buy,this
1972,this,product,piec
1973,poor,contstruct,hing
1974,this,item,is
1975,item,is,great
1976,is,great,instal
1977,great,instal,it
1978,instal,it,let
1979,it,let,it
1980,it,charg,up
1981,charg,up,overnit
1982,up,overnit,and
1983,it,has,been
1984,been,work,good
1985,work,good,everi
1986,good,everi,sinc
1987,everi,sinc,with
1988,sinc,with,no
1989,no,problem,great
1990,phone,do,not
1991,do,not,purchas
1992,purchas,this,phone
1993,this,phone,the
1994,the,voic,recognit
1995,voic,recognit,thru
1996,recognit,thru,the
1997,thru,the,handset
1998,the,handset,is
1999,handset,is,excel
2000,is,excel,this
2001,this,is,hand
2002,is,hand,down
2003,hand,down,the
2004,down,the,best
2005,best,phone,i
2006,had,work,great
2007,work,great,when
2008,great,when,my
2009,when,my,cat
2010,my,cat,attack
2011,cat,attack,the
2012,attack,the,phone
2013,the,phone,he
2014,phone,he,scratch
2015,he,scratch,the
2016,scratch,the,protect
2017,the,protect,strip
2018,protect,strip,instead
2019,strip,instead,of
2020,instead,of,destroy
2021,of,destroy,the
2022,destroy,the,screen
2023,this,one,work
2024,one,work,and
2025,work,and,was
2026,and,was,price
2027,was,price,right
2028,custom,servic,was
2029,servic,was,terribl
2030,batteri,life,still
2031,life,still,not
2032,still,not,long
2033,not,long,enough
2034,long,enough,in
2035,enough,in,motorola
2036,in,motorola,razor
2037,send,it,back
2038,it,back,now
2039,back,now,i
2040,now,i,know
2041,i,know,that
2042,that,i,made
2043,i,made,a
2044,made,a,wise
2045,a,wise,decis
2046,someon,shouldv,invent
2047,shouldv,invent,this
2048,invent,this,sooner
2049,everyth,work,on
2050,work,on,the
2051,on,the,first
2052,the,first,tri
2053,tri,the,devic
2054,the,devic,was
2055,devic,was,certain
2056,was,certain,engin
2057,certain,engin,in
2058,engin,in,a
2059,in,a,clever
2060,a,clever,way
2061,clever,way,and
2062,way,and,the
2063,and,the,construct
2064,the,construct,feel
2065,construct,feel,good
2066,good,i,receiv
2067,i,receiv,it
2068,receiv,it,quick
2069,great,has,been
2070,has,been,work
2071,been,work,great
2072,as,mani,peopl
2073,mani,peopl,complain
2074,peopl,complain,i
2075,complain,i,found
2076,found,this,headset
2077,this,headset,s
2078,headset,s,microphon
2079,s,microphon,was
2080,microphon,was,veri
2081,was,veri,weak
2082,my,year,old
2083,year,old,nokia
2084,old,nokia,from
2085,nokia,from,tracfon
2086,from,tracfon,hold
2087,tracfon,hold,the
2088,hold,the,charg
2089,the,charg,a
2090,charg,a,lot
2091,better,than,this
2092,do,not,care
2093,not,care,about
2094,care,about,the
2095,about,the,consum
2096,the,consum,one
2097,consum,one,bit
2098,a,good,batteri
2099,good,batteri,and
2100,it,got,here
2101,got,here,realli
2102,here,realli,fast
2103,the,instruct,manual
2104,instruct,manual,is
2105,manual,is,lack
2106,also,it,slim
2107,it,slim,enough
2108,slim,enough,to
2109,enough,to,fit
2110,to,fit,into
2111,fit,into,my
2112,into,my,alarm
2113,my,alarm,clock
2114,alarm,clock,dock
2115,clock,dock,station
2116,dock,station,without
2117,station,without,remov
2118,without,remov,the
2119,remov,the,case
2120,the,case,phone
2121,phone,now,hold
2122,now,hold,charg
2123,hold,charg,like
2124,charg,like,it
2125,like,it,did
2126,it,did,when
2127,when,it,was
2128,was,new,the
2129,batteri,is,unreli
2130,is,unreli,as
2131,as,the,servic
2132,the,servic,use
2133,servic,use,antena
2134,it,s,uncomfort
2135,s,uncomfort,and
2136,qualiti,is,quit
2137,is,quit,poor
2138,quit,poor,compar
2139,poor,compar,with
2140,compar,with,the
2141,the,phone,razr
2142,phone,razr,or
2143,razr,or,with
2144,or,with,my
2145,with,my,previous
2146,my,previous,wire
2147,previous,wire,headset
2148,wire,headset,that
2149,headset,that,plug
2150,that,plug,into
2151,plug,into,an
2152,into,an,lg
2153,we,have,gotten
2154,gotten,a,lot
2155,lot,of,compliment
2156,of,compliment,on
2157,compliment,on,it
2158,on,it,this
2159,this,is,definit
2160,is,definit,a
2161,definit,a,must
2162,must,have,if
2163,have,if,your
2164,if,your,state
2165,your,state,doe
2166,state,doe,not
2167,doe,not,allow
2168,not,allow,cell
2169,allow,cell,phone
2170,cell,phone,usag
2171,phone,usag,while
2172,usag,while,drive
2173,while,drive,i
2174,i,want,my
2175,want,my,money
2176,my,money,back
2177,money,back,i
2178,love,this,devic
2179,this,devic,i
2180,i,am,also
2181,am,also,veri
2182,also,veri,happi
2183,happi,with,the
2184,i,order,this
2185,order,this,product
2186,this,product,first
2187,product,first,and
2188,first,and,was
2189,and,was,unhappi
2190,was,unhappi,with
2191,the,ngage,is
2192,ngage,is,still
2193,is,still,lack
2194,still,lack,in
2195,lack,in,earbud
2196,was,abl,to
2197,abl,to,do
2198,to,do,voic
2199,do,voic,dial
2200,voic,dial,in
2201,dial,in,the
2202,the,car,with
2203,car,with,no
2204,no,problem,i
2205,problem,i,have
2206,i,have,bar
2207,have,bar,on
2208,bar,on,my
2209,on,my,cell
2210,cell,phone,when
2211,when,i,am
2212,i,am,home
2213,am,home,but
2214,home,but,you
2215,but,you,cant
2216,you,cant,not
2217,cant,not,hear
2218,not,hear,anyth
2219,good,item,low
2220,item,low,price
2221,low,price,howev
2222,price,howev,the
2223,howev,the,riington
2224,the,riington,are
2225,riington,are,not
2226,are,not,the
2227,not,the,best
2228,the,best,and
2229,best,and,neither
2230,and,neither,are
2231,neither,are,the
2232,are,the,game
2233,the,game,the
2234,the,plug,did
2235,plug,did,not
2236,not,work,veri
2237,rip,off,over
2238,off,over,charg
2239,over,charg,ship
2240,veri,comfort,the
2241,batteri,is,work
2242,replac,for,the
2243,for,the,origin
2244,the,origin,that
2245,origin,that,came
2246,came,with,the
2247,the,phone,over
2248,phone,over,year
2249,over,year,ago
2250,year,ago,the
2251,the,recept,is
2252,recept,is,excel
2253,fit,comfort,in
2254,comfort,in,either
2255,in,either,ear
2256,clear,and,loud
2257,and,loud,and
2258,and,the,charg
2259,the,charg,last
2260,charg,last,a
2261,last,a,coupl
2262,coupl,of,day
2263,veri,clear,qualiti
2264,clear,qualiti,sound
2265,sound,and,you
2266,and,you,don
2267,have,to,mess
2268,to,mess,with
2269,mess,with,the
2270,with,the,sound
2271,the,sound,on
2272,sound,on,your
2273,on,your,ipod
2274,your,ipod,sinc
2275,ipod,sinc,you
2276,sinc,you,have
2277,you,have,the
2278,have,the,sound
2279,the,sound,button
2280,sound,button,on
2281,on,the,headset
2282,long,last,batteri
2283,last,batteri,you
2284,batteri,you,don
2285,don,t,have
2286,t,have,to
2287,have,to,recharg
2288,to,recharg,it
2289,recharg,it,as
2290,it,as,frequentyli
2291,as,frequentyli,as
2292,as,some,of
2293,some,of,the
2294,of,the,flip
2295,the,flip,phone
2296,obvious,there,is
2297,is,a,problem
2298,a,problem,with
2299,with,the,adhes
2300,it,was,an
2301,was,an,inexpens
2302,an,inexpens,piec
2303,inexpens,piec,but
2304,piec,but,i
2305,i,would,still
2306,would,still,have
2307,still,have,expect
2308,have,expect,better
2309,expect,better,qualiti
2310,better,qualiti,it
2311,is,practic,useless
2312,practic,useless,and
2313,useless,and,did
2314,and,did,not
2315,did,not,add
2316,not,add,ani
2317,add,ani,kind
2318,kind,of,boost
2319,of,boost,to
2320,boost,to,my
2321,to,my,recept
2322,my,recept,after
2323,recept,after,i
2324,i,bought,it
2325,excel,sound,qualiti
2326,sound,qualiti,was
2327,was,not,happi
2328,of,junk,that
2329,junk,that,broke
2330,that,broke,after
2331,broke,after,be
2332,after,be,on
2333,be,on,my
2334,on,my,phone
2335,my,phone,for
2336,phone,for,day
2337,day,new,batteri
2338,new,batteri,work
2339,work,great,in
2340,great,in,phone
2341,in,phone,worst
2342,worst,custom,servic
2343,i,ve,drop
2344,ve,drop,my
2345,drop,my,phone
2346,my,phone,more
2347,phone,more,time
2348,more,time,than
2349,time,than,i
2350,than,i,can
2351,can,say,even
2352,say,even,on
2353,even,on,concret
2354,on,concret,and
2355,concret,and,my
2356,phone,is,still
2357,is,still,great
2358,still,great,knock
2359,great,knock,on
2360,knock,on,wood
2361,recept,is,terribl
2362,is,terribl,and
2363,terribl,and,full
2364,and,full,of
2365,full,of,static
2366,good,audio,qualiti
2367,this,littl,devic
2368,littl,devic,has
2369,devic,has,transform
2370,has,transform,my
2371,transform,my,organiz
2372,my,organiz,capabl
2373,organiz,capabl,and
2374,capabl,and,made
2375,and,made,my
2376,made,my,life
2377,my,life,a
2378,life,a,whole
2379,a,whole,lot
2380,whole,lot,easier
2381,i,was,sit
2382,was,sit,in
2383,sit,in,my
2384,in,my,vehicl
2385,my,vehicl,with
2386,vehicl,with,the
2387,with,the,cradl
2388,the,cradl,on
2389,cradl,on,my
2390,on,my,belt
2391,belt,and,the
2392,and,the,headset
2393,the,headset,lost
2394,headset,lost,signal
2395,were,jerk,on
2396,jerk,on,the
2397,the,phone,work
2398,phone,work,like
2399,a,charm,work
2400,charm,work,as
2401,work,as,advertis
2402,comfort,nice,rang
2403,nice,rang,good
2404,rang,good,batteri
2405,good,batteri,life
2406,their,network,coverag
2407,network,coverag,in
2408,coverag,in,los
2409,in,los,angel
2410,los,angel,is
2411,angel,is,horribl
2412,excel,starter,wireless
2413,starter,wireless,headset
2414,wireless,headset,the
2415,the,loudspeak,option
2416,loudspeak,option,is
2417,option,is,great
2418,is,great,the
2419,great,the,bumper
2420,the,bumper,with
2421,with,the,light
2422,the,light,is
2423,veri,appeal,the
2424,thing,that,i
2425,i,think,could
2426,think,could,improv
2427,could,improv,is
2428,improv,is,the
2429,the,sound,leak
2430,sound,leak,out
2431,leak,out,from
2432,out,from,the
2433,from,the,headset
2434,the,headset,first
2435,first,off,the
2436,off,the,recept
2437,the,recept,suck
2438,recept,suck,i
2439,suck,i,have
2440,i,have,never
2441,have,never,had
2442,never,had,more
2443,had,more,than
2444,more,than,bar
2445,than,bar,ever
2446,bar,ever,the
2447,ever,the,phone
2448,the,phone,get
2449,phone,get,extrem
2450,get,extrem,hot
2451,extrem,hot,the
2452,the,microphon,also
2453,microphon,also,work
2454,well,but,accord
2455,but,accord,to
2456,accord,to,peopl
2457,to,peopl,i
2458,peopl,i,have
2459,i,have,call
2460,have,call,it
2461,call,it,applifi
2462,it,applifi,everyth
2463,nice,design,and
2464,design,and,qualiti
2465,also,if,your
2466,if,your,phone
2467,your,phone,is
2468,phone,is,drop
2469,is,drop,this
2470,drop,this,case
2471,case,is,not
2472,is,not,go
2473,not,go,to
2474,go,to,save
2475,to,save,it
2476,save,it,special
2477,it,special,when
2478,special,when,drop
2479,when,drop,face
2480,drop,face,down
2481,face,down,it
2482,is,light,easi
2483,light,easi,to
2484,use,and,has
2485,and,has,veri
2486,has,veri,clear
2487,veri,clear,recept
2488,clear,recept,and
2489,recept,and,transmiss
2490,bad,fit,way
2491,fit,way,too
2492,way,too,big
2493,it,definit,was
2494,definit,was,not
2495,was,not,as
2496,of,money,i
2497,money,i,had
2498,i,had,order
2499,had,order,a
2500,order,a,motorola
2501,a,motorola,data
2502,motorola,data,cabl
2503,data,cabl,got
2504,cabl,got,a
2505,got,a,veri
2506,a,veri,well
2507,veri,well,finish
2508,well,finish,and
2509,finish,and,work
2510,and,work,product
2511,phone,i,was
2512,i,was,look
2513,was,look,for
2514,look,for,this
2515,for,this,headset
2516,headset,for,a
2517,and,now,that
2518,now,that,i
2519,that,i,ve
2520,i,ve,got
2521,ve,got,it
2522,it,i,couldn
2523,t,be,happier
2524,be,happier,i
2525,ll,be,drivng
2526,be,drivng,along
2527,drivng,along,and
2528,along,and,my
2529,headset,start,ring
2530,start,ring,for
2531,ring,for,no
2532,for,no,reason
2533,display,is,excel
2534,is,excel,and
2535,excel,and,camera
2536,and,camera,is
2537,camera,is,as
2538,as,ani,from
2539,ani,from,that
2540,from,that,year
2541,that,year,batteri
2542,life,is,also
2543,is,also,great
2544,also,great,the
2545,worst,phone,i
2546,ever,had,onli
2547,had,onli,had
2548,not,a,good
2549,a,good,item
2550,good,item,it
2551,item,it,work
2552,it,work,for
2553,work,for,a
2554,for,a,while
2555,a,while,then
2556,while,then,start
2557,then,start,have
2558,start,have,problem
2559,have,problem,in
2560,problem,in,my
2561,in,my,auto
2562,my,auto,revers
2563,auto,revers,tape
2564,revers,tape,player
2565,this,is,so
2566,is,so,embarass
2567,so,embarass,and
2568,embarass,and,also
2569,and,also,my
2570,also,my,ear
2571,my,ear,hurt
2572,ear,hurt,if
2573,hurt,if,i
2574,if,i,tri
2575,tri,to,push
2576,to,push,the
2577,ear,plug,into
2578,plug,into,my
2579,into,my,ear
2580,protect,the,phone
2581,phone,on,all
2582,on,all,side
2583,side,this,is
2584,a,veri,averag
2585,veri,averag,phone
2586,averag,phone,with
2587,phone,with,bad
2588,with,bad,batteri
2589,bad,batteri,life
2590,batteri,life,that
2591,life,that,oper
2592,that,oper,on
2593,oper,on,a
2594,on,a,weak
2595,a,weak,network
2596,clear,skype,call
2597,skype,call,long
2598,call,long,batteri
2599,life,long,rang
2600,soyo,technolog,suck
2601,great,hand,free
2602,hand,free,devic
2603,you,can,even
2604,can,even,take
2605,even,take,self
2606,take,self,portrait
2607,self,portrait,with
2608,portrait,with,the
2609,with,the,outsid
2610,the,outsid,exterior
2611,outsid,exterior,display
2612,exterior,display,veri
2613,display,veri,cool
2614,same,problem,as
2615,problem,as,other
2616,as,other,have
2617,other,have,mention
2618,after,tri,mani
2619,tri,mani,mani
2620,mani,mani,handsfre
2621,handsfre,gadget,this
2622,gadget,this,is
2623,the,one,that
2624,one,that,final
2625,that,final,work
2626,the,worst,piec
2627,worst,piec,of
2628,of,crap,ever
2629,crap,ever,along
2630,ever,along,with
2631,along,with,the
2632,with,the,verizon
2633,the,verizon,custom
2634,verizon,custom,servic
2635,poor,sound,qualiti
2636,best,phone,in
2637,phone,in,market
2638,it,work,veri
2639,veri,well,the
2640,well,the,compani
2641,the,compani,ship
2642,compani,ship,my
2643,ship,my,product
2644,my,product,veri
2645,product,veri,prompt
2646,veri,prompt,and
2647,exact,what,i
2648,i,want,the
2649,the,pictur,resolut
2650,pictur,resolut,is
2651,resolut,is,far
2652,is,far,below
2653,far,below,what
2654,below,what,other
2655,what,other,compar
2656,other,compar,price
2657,compar,price,phone
2658,price,phone,are
2659,phone,are,offer
2660,are,offer,today
2661,excel,product,i
2662,product,i,am
2663,am,veri,satisfi
2664,satisfi,with,the
2665,with,the,purchas
2666,the,purchas,i
2667,high,recommend,these
2668,recommend,these,and
2669,these,and,encourag
2670,and,encourag,peopl
2671,encourag,peopl,to
2672,peopl,to,give
2673,to,give,them
2674,give,them,a
2675,them,a,tri
2676,tri,better,than
2677,better,than,you
2678,than,you,d
2679,you,d,expect
2680,use,all,earpiec
2681,all,earpiec,left
2682,earpiec,left,or
2683,left,or,right
2684,or,right,this
2685,right,this,thing
2686,this,thing,will
2687,thing,will,not
2688,will,not,stay
2689,not,stay,on
2690,stay,on,my
2691,on,my,ear
2692,great,product,and
2693,product,and,price
2694,and,price,sound
2695,price,sound,good
2696,sound,good,reason
2697,good,reason,price
2698,reason,price,and
2699,price,and,effect
2700,effect,it,that
2701,it,that,simpl
2702,still,wait,i
2703,wait,i,m
2704,i,m,sure
2705,m,sure,this
2706,sure,this,item
2707,this,item,would
2708,item,would,work
2709,well,if,i
2710,if,i,ever
2711,i,ever,reciev
2712,ever,reciev,it
2713,what,a,disappoint
2714,veri,prompt,servic
2715,the,price,veri
2716,veri,pleas,with
2717,pleas,with,this
2718,headset,don,t
2719,your,money,and
2720,i,especi,love
2721,especi,love,the
2722,love,the,long
2723,the,long,batteri
2724,it,s,so
2725,s,so,stupid
2726,so,stupid,to
2727,stupid,to,have
2728,to,keep,buy
2729,keep,buy,new
2730,buy,new,charger
2731,new,charger,car
2732,charger,car,charger
2733,charger,cradl,headphon
2734,cradl,headphon,and
2735,headphon,and,car
2736,and,car,kit
2737,car,kit,everi
2738,kit,everi,time
2739,everi,time,a
2740,time,a,new
2741,a,new,phone
2742,new,phone,come
2743,phone,come,out
2744,plantron,bluetooth,excel
2745,bluetooth,excel,buy
2746,i,came,over
2747,came,over,from
2748,over,from,verizon
2749,from,verizon,becaus
2750,verizon,becaus,cingulair
2751,becaus,cingulair,has
2752,cingulair,has,nicer
2753,has,nicer,cell
2754,nicer,cell,phone
2755,cell,phone,the
2756,phone,the,first
2757,first,thing,i
2758,thing,i,notic
2759,i,notic,was
2760,notic,was,the
2761,was,the,realli
2762,the,realli,bad
2763,realli,bad,servic
2764,bad,servic,i
2765,i,ll,be
2766,ll,be,look
2767,be,look,for
2768,for,a,new
2769,a,new,earpiec
2770,new,earpiec,i
2771,recommend,this,devic
2772,this,devic,to
2773,devic,to,everyon
2774,jawbon,era,is
2775,era,is,awesom
2776,is,awesom,too
2777,we,receiv,a
